,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-03-31,25.81801666271641,26.296127815404923,25.690520782519084,26.009262084960938,29466151,0.0,0.0,26.03316879272461,0.01010092258741091
2020-04-01,25.435528062557772,25.722395402195215,25.124756446241026,25.300064086914062,26709625,0.0,0.0,26.009262084960938,-0.011029404903093898
2020-04-02,25.419594447675053,26.296131137697433,25.300066644401603,26.192541122436523,27186876,0.0,0.0,25.300064086914062,0.03937013943370071
2020-04-03,26.001297608229024,27.005333473065793,26.001297608229024,26.806119918823242,32837370,0.0,0.0,26.192541122436523,0.03103144314367534
2020-04-06,27.029229233120084,27.81014381276544,26.917669549756933,27.547183990478516,40503217,0.0,0.0,26.806119918823242,0.03745502508317777
2020-04-07,27.889841050968638,28.025305055847227,26.766277328567174,26.782215118408203,24226295,0.0,0.0,27.547183990478516,0.01735644069949105
2020-04-08,27.085015213753955,27.730465982994385,26.646746074025966,27.571094512939453,25523980,0.0,0.0,26.782215118408203,0.035405990893353056
2020-04-09,27.913738065593506,28.503408903061796,27.770302800213727,28.200605392456055,30648107,0.0,0.0,27.571094512939453,0.033814921264181175
2020-04-13,28.65481509319462,28.67075448419282,27.66672023060011,28.00139617919922,18270141,0.0,0.0,28.200605392456055,0.016671595704911057
2020-04-14,28.630908755413266,29.188707302830107,28.16076563854655,29.037303924560547,21845309,0.0,0.0,28.00139617919922,0.04240185439442046
2020-04-15,28.734494881363876,28.869958843896182,28.352004064235746,28.662778854370117,21312196,0.0,0.0,29.037303924560547,-0.005763106695412579
2020-04-16,28.78231533615719,28.89387505805329,28.352012636301428,28.591068267822266,20657451,0.0,0.0,28.662778854370117,0.008062588936590176
2020-04-17,29.085109785368644,29.48353357680619,28.774334998903573,29.41181755065918,24404843,0.0,0.0,28.591068267822266,0.031214829072628625
2020-04-20,28.98949046642172,29.411821796810983,28.75043487548828,28.75043487548828,22530620,0.0,0.0,29.41181755065918,1.4436890194424734e-07
2020-04-21,28.511384154383784,28.630911970266208,28.184676286124137,28.383888244628906,23975233,0.0,0.0,28.75043487548828,-0.004157255559427142
2020-04-22,29.451663247461333,29.48353561510932,28.782308283986268,28.885896682739258,20182624,0.0,0.0,28.383888244628906,0.03874195673978886
2020-04-23,28.90980910873906,29.802283614037414,28.90980910873906,29.23651695251465,20185365,0.0,0.0,28.885896682739258,0.031724371978583576
2020-04-24,29.35604566162389,29.826188810496454,29.308237100502758,29.786348342895508,17353794,0.0,0.0,29.23651695251465,0.02016901872885679
2020-04-27,29.953690051556944,30.71069743665458,29.93775065948382,30.543357849121094,23394057,0.0,0.0,29.786348342895508,0.03103264230707703
2020-04-28,31.117084009007396,31.25254797862115,29.786342180691083,30.20867347717285,35666728,0.0,0.0,30.543357849121094,0.023219127805244266
2020-04-29,30.646942663785126,30.718658698520944,30.049303701157985,30.376014709472656,26518535,0.0,0.0,30.20867347717285,0.016882079305251985
2020-04-30,30.280389599752183,30.686784713723004,29.770402883340427,30.567256927490234,29450973,0.0,0.0,30.376014709472656,0.01023076948120627
2020-05-01,30.160866023604054,30.232582064574984,29.794314521843766,29.993526458740234,22679867,0.0,0.0,30.567256927490234,-0.01094880262593223
2020-05-04,29.961647358177107,30.216642323928514,29.81024720103752,29.97758674621582,19893512,0.0,0.0,29.993526458740234,0.007438800685714675
2020-05-05,30.925846083587807,30.965686550535924,30.495546613264747,30.686790466308594,24123952,0.0,0.0,29.97758674621582,0.03296128579945923
2020-05-06,31.05334198561704,31.085217563073154,30.686790466308594,30.686790466308594,24047432,0.0,0.0,30.686790466308594,0.012983667914114427
2020-05-07,30.91212746939128,30.97651395572239,29.688842473986806,29.74517822265625,33546080,0.360531,0.0,30.686790466308594,0.009441309599708347
2020-05-08,29.978565828724545,30.08318981414127,29.809558599011382,29.95442008972168,19893618,0.0,0.0,29.74517822265625,0.011363575936740089
2020-05-11,29.97856828513179,30.751170515821812,29.90613753384175,30.662641525268555,25620421,0.0,0.0,29.95442008972168,0.026598759839571162
2020-05-12,30.678732758454633,30.775305992844668,30.050992173701285,30.067087173461914,19335314,0.0,0.0,30.662641525268555,0.0036743236059186835
2020-05-13,30.026850100759507,30.11537583652723,29.447397742879946,29.817602157592773,24596882,0.0,0.0,30.067087173461914,0.0016060306336538321
