,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-06-08,139.33155631153537,141.70517737306065,139.11318723035635,141.66720581054688,4076400,0.0,0.0,141.66720581054688,0.0002680335388598465
2020-06-09,142.17987029876244,144.07876673013155,141.5722240202215,141.59121704101562,4302100,0.0,0.0,141.66720581054688,0.017022718178049567
2020-06-10,142.37926416675904,144.69590569839238,142.26532052672894,143.36668395996094,4940200,0.0,0.0,141.59121704101562,0.021927127418344128
2020-06-11,144.17374200177662,144.5440262897186,135.81859337745527,136.79652404785156,4547400,0.0,0.0,143.36668395996094,0.008212105471355313
2020-06-12,138.18267928521334,138.98022675267575,134.3184327948006,136.28378295898438,3973200,0.0,0.0,136.79652404785156,0.01596314467800597
2020-06-15,134.8216215050587,135.67611894497895,132.61889510115174,134.3658905029297,3709900,0.0,0.0,136.28378295898438,-0.0044588138134403765
2020-06-16,148.41776642770247,158.96612321931536,147.16448770745254,155.43418884277344,15029300,0.0,0.0,134.3658905029297,0.18308391083709807
2020-06-17,155.92789979493003,156.05133271746186,151.3420624867961,151.8832550048828,4711200,0.0,0.0,155.43418884277344,0.00397045128412965
2020-06-18,151.15217975249334,154.73160421469322,150.20273136901358,152.9276580810547,3631600,0.0,0.0,151.8832550048828,0.018753543369338654
2020-06-19,154.0289971272821,154.2663592076368,150.25968613225518,151.85476684570312,6004900,0.0,0.0,152.9276580810547,0.008753819573125154
2020-06-22,151.13315548599837,153.31688921406553,150.88630417279865,152.33895874023438,2647300,0.0,0.0,151.85476684570312,0.0096284258883228
2020-06-23,152.7567276340178,154.63663110356597,150.91479571981898,151.2850799560547,2771500,0.0,0.0,152.33895874023438,0.015082631405204383
2020-06-24,150.53503871672393,151.71234539819443,148.42726222175517,149.0918731689453,3096000,0.0,0.0,151.2850799560547,0.0028242404489844386
2020-06-25,149.67104494923996,155.13037324022093,148.78806489266645,154.62716674804688,3735400,0.0,0.0,149.0918731689453,0.0405018727240285
2020-06-26,154.12393919573069,155.51012555506392,152.0826167255782,154.59866333007812,5290400,0.0,0.0,154.62716674804688,0.00571024371451978
2020-06-29,155.567098053256,155.90889999505396,152.88964709460004,154.4942169189453,2640300,0.0,0.0,154.59866333007812,0.008475084045056702
2020-06-30,154.8644995506581,156.8203605634313,154.09544881140556,155.88040161132812,3296300,0.0,0.0,154.4942169189453,0.015056509498387216
2020-07-01,156.0133479157602,157.10520763993375,154.3043381187412,155.04490661621094,2065100,0.0,0.0,155.88040161132812,0.007857344579208503
2020-07-02,155.77600661744944,156.44061760284475,154.16193274050414,155.5861053466797,1960200,0.0,0.0,155.04490661621094,0.009001978956256096
2020-07-06,156.1462777029684,160.38080911405567,155.719014367323,158.45343017578125,2760100,0.0,0.0,155.5861053466797,0.03081704344158709
2020-07-07,157.72235377344012,159.86811629609056,156.9153313760365,158.3205108642578,3273300,0.0,0.0,158.45343017578125,0.00892808769579756
2020-07-08,158.40594036114743,161.2353065379474,158.40594036114743,160.58018493652344,2781800,0.0,0.0,158.3205108642578,0.018410726808408828
2020-07-09,161.292290424623,162.11830585360894,155.43419584032264,158.03567504882812,2955200,0.0,0.0,160.58018493652344,0.009578522516296317
2020-07-10,157.74131714994346,157.74131714994346,154.5131991921759,155.1018524169922,2245100,0.0,0.0,158.03567504882812,-0.001862604116404265
2020-07-13,156.28871544264794,158.55789673863157,152.89917740271,153.88661193847656,3455600,0.0,0.0,155.1018524169922,0.02228241808710174
2020-07-14,154.6461631530791,156.4406200858443,153.36440199220402,155.59561157226562,2642900,0.0,0.0,153.88661193847656,0.016596688400605242
2020-07-15,156.839345590578,158.064127355958,155.61454933776866,157.08619689941406,2346200,0.0,0.0,155.59561157226562,0.01586494476771194
2020-07-16,156.611490753008,157.07672562528063,154.38029598939713,156.65896606445312,1486800,0.0,0.0,157.08619689941406,-6.0293484216766835e-05
2020-07-17,157.64639294589063,158.80472105725107,156.76341296075918,157.57044982910156,2935800,0.0,0.0,156.65896606445312,0.013696981709397482
